hidden_layer_sizes,alpha,learning_rate_init,RMSE_P-wave,RMSE_Set1,RMSE_Set2,RMSE_Set3,RMSE_Set4,R2_P-wave,R2_Set1,R2_Set2,R2_Set3,R2_Set4
"(50, 50)",0.001,0.0001,238.051324057627,239.12110687561758,226.46037985810509,240.03540489345508,225.8600569261517,0.15489288052575378,0.1696159256546114,0.2524793622303328,0.16598271049278196,0.2579658352320634
"(50, 50)",0.01,0.0001,238.051324057627,239.0898657582121,226.28579114917534,239.88802428474364,225.84378664342236,0.15489288052575378,0.16980164679275905,0.25371254559571454,0.16698674164867838,0.25771630596631145
"(50, 50)",0.1,0.0001,238.051324057627,239.00634778546498,225.7663706924767,239.10360179039765,224.940495353596,0.15489288052575378,0.17098966286711773,0.25699114256496314,0.17259038480257885,0.2619776452164032
"(50, 50)",0.5,0.0001,238.051324057627,237.64308012645796,224.10790248627643,237.3777390556888,221.95570418332045,0.15489288052575378,0.18229168132464144,0.26737333479728775,0.18437272779517752,0.28016304339914266
"(50, 50)",0.001,0.0005,238.051324057627,237.95449030189147,228.39404285147756,240.74495081758243,228.04862689739682,0.15489288052575378,0.17850493485475663,0.2402678054638848,0.16151760988932876,0.24437879540290575
"(50, 50)",0.01,0.0005,238.051324057627,237.84553679085104,228.24775736604954,240.87750064080151,227.33563895246797,0.15489288052575378,0.17936708788741065,0.24015324584128023,0.1608190283271855,0.2511984948270636
"(50, 50)",0.1,0.0005,238.051324057627,237.87873491560475,226.36997499167873,239.7301794249197,226.63964551486436,0.15489288052575378,0.17757318568072317,0.25664566453345306,0.1685339913015578,0.2526829141879335
"(50, 50)",0.5,0.0005,238.051324057627,236.58676593773248,223.39269632953076,237.99536074256866,219.9648982064466,0.15489288052575378,0.18730300247075932,0.27493237928393194,0.18000578934403122,0.3010635200348336
"(50, 50)",0.001,0.001,238.051324057627,239.24941767245002,230.46614011995698,240.78801933860345,231.12407522723257,0.15489288052575378,0.16693440017323266,0.22125661985458003,0.16150622938783601,0.2231215270355418
"(50, 50)",0.01,0.001,238.051324057627,239.1126888492857,229.7935720760626,240.98362431772188,231.82869839518972,0.15489288052575378,0.16706654996291515,0.22579850367225254,0.15595282653941717,0.2198935935210913
"(50, 50)",0.1,0.001,238.051324057627,238.5493617898244,227.01627140742323,239.60760554651617,228.53076773399061,0.15489288052575378,0.17252867292458152,0.2515724605595059,0.1694855256100982,0.2418013537312146
"(50, 50)",0.5,0.001,238.051324057627,237.4490077130308,223.80247240788256,236.9758744928823,220.61394163051034,0.15489288052575378,0.1795346076526349,0.2718126952252633,0.190144191302363,0.29510891006645923
"(50, 50)",0.001,0.005,238.051324057627,237.47157532922546,235.97210165834085,243.7867525695028,250.09963889521885,0.15489288052575378,0.17910800239066013,0.18282522770209453,0.13652895460674214,0.07044127576547798
"(50, 50)",0.01,0.005,238.051324057627,237.6927174663066,235.53291323419057,244.71718739963953,245.22540407166892,0.15489288052575378,0.17457170410509804,0.18547386859125578,0.12811124527744366,0.10809032786809185
"(50, 50)",0.1,0.005,238.051324057627,236.1565138945098,233.11194199868925,243.5884409279073,240.683111105629,0.15489288052575378,0.19073960922691388,0.20545137304040628,0.13417138649607566,0.15357013751014864
"(50, 50)",0.5,0.005,238.051324057627,233.26410552444185,224.51331021434444,237.23347184426544,223.67788392044235,0.15489288052575378,0.21438930538051104,0.26850066248304744,0.18251506336573142,0.27173454531580943
