seed,model,feature_set,RMSE,R2,MAE,Bias,Delta_RMSE,Delta_R2,Delta_MAE
1,P-wave,P-wave,260.3169489757642,-0.8238743494423018,202.6253164556962,109.49113924050633,0.0,0.0,0.0
1,GB_PI,Set1,232.81804125155938,-0.4588924835606041,182.0586994326224,103.2995144906589,-27.498907724204827,0.3649818658816977,-20.566617023073803
1,GB_PI,Set2,203.4692538339751,-0.11426274279709392,161.36547305307744,43.10410381870534,-56.8476951417891,0.7096116066452078,-41.25984340261877
1,GB_PI,Set3,204.22842640257335,-0.12259319874451391,165.14520438838085,92.30373429424695,-56.08852257319086,0.7012811506977878,-37.48011206731536
1,GB_PI,Set4,193.02573652256726,-0.0028141677770183726,156.83621293419853,69.80623234893217,-67.29121245319695,0.8210601816652834,-45.78910352149768
2,P-wave,P-wave,197.22472325602243,0.5249748962610956,142.609756097561,-11.609756097560975,0.0,0.0,0.0
2,GB_PI,Set1,194.60579024027655,0.5375067839703005,142.7125419605779,-23.24414205041012,-2.618933015745881,0.01253188770920488,0.10278586301691917
2,GB_PI,Set2,160.37335734586216,0.6859069744847408,117.5701688411988,-0.6322342602302367,-36.85136591016027,0.1609320782236452,-25.039587256362196
2,GB_PI,Set3,191.2697212177677,0.5532276365956996,137.525745390348,-54.747524042221045,-5.955002038254719,0.02825274033460401,-5.084010707212997
2,GB_PI,Set4,161.16079369149918,0.6828149963453392,118.5238173483311,-35.7359947978679,-36.06392956452325,0.15784010008424354,-24.085938749229896
3,P-wave,P-wave,252.8075704083767,0.3089197823602752,192.02967359050444,-89.10385756676558,0.0,0.0,0.0
3,GB_PI,Set1,274.73957955718004,0.18381093841554053,209.7985772582972,-150.11163295351062,21.93200914880333,-0.12510884394473465,17.768903667792756
3,GB_PI,Set2,242.2312412326761,0.36553361024974107,180.928956180862,-109.07225016864702,-10.576329175700607,0.056613827889465895,-11.100717409642442
3,GB_PI,Set3,266.91999061653775,0.2296102189868171,199.3776519372795,-140.2640022588517,14.11242020816104,-0.07930956337345807,7.347978346775051
3,GB_PI,Set4,233.1860175685005,0.4120324980765503,171.46520833145442,-102.70137395435366,-19.621552839876216,0.10311271571627512,-20.564465259050024
4,P-wave,P-wave,260.7579968462226,0.37715058311648186,199.70807453416148,-57.65217391304348,0.0,0.0,0.0
4,GB_PI,Set1,268.1407238330084,0.34138238066525994,198.18639906192286,-111.79856049053406,7.382726986785769,-0.03576820245122192,-1.521675472238627
4,GB_PI,Set2,236.7332031619613,0.4866351386911316,172.63024833239203,-95.20293905775868,-24.02479368426131,0.10948455557464976,-27.077826201769454
4,GB_PI,Set3,247.63529198850318,0.43826321114740985,178.8271386991481,-104.65713025311351,-13.122704857719441,0.061112628030927985,-20.88093583501339
4,GB_PI,Set4,233.60019508167557,0.500133315853066,169.69091775308382,-95.25826444742377,-27.15780176454706,0.12298273273658411,-30.01715678107766
5,P-wave,P-wave,198.5997719429898,0.19907906655343477,157.35395189003435,43.965635738831615,0.0,0.0,0.0
5,GB_PI,Set1,185.05523857743896,0.30459962373694605,145.7161391956469,30.536375324540483,-13.544533365550848,0.10552055718351128,-11.637812694387463
5,GB_PI,Set2,176.52561036008993,0.3672274987142633,135.26240667485735,47.70924181673905,-22.074161582899876,0.16814843216082853,-22.091545215177007
5,GB_PI,Set3,144.3775255145802,0.5767164973642063,108.38116226257391,16.760565644062016,-54.22224642840959,0.3776374308107715,-48.97278962746044
5,GB_PI,Set4,161.4352110706683,0.47078921572567445,123.19520802579416,38.368017224227366,-37.164560872321516,0.2717101491722397,-34.15874386424019
6,P-wave,P-wave,244.44206651989023,-0.8032240234641295,182.3228346456693,123.69291338582677,0.0,0.0,0.0
6,GB_PI,Set1,239.8824045921249,-0.736579134645396,177.0650690788886,124.19779866704013,-4.559661927765319,0.06664488881873343,-5.257765566780705
6,GB_PI,Set2,177.343793696656,0.050861083771857274,129.7269065208422,65.685154353108,-67.09827282323423,0.8540851072359867,-52.59592812482711
6,GB_PI,Set3,247.1499066833186,-0.8433962219661215,166.13465290210505,123.72404110569462,2.707840163428358,-0.04017219850199205,-16.188181743564257
6,GB_PI,Set4,213.97277745620164,-0.38170344209833473,152.87362646624902,100.02635384723123,-30.469289063688592,0.42152058136579473,-29.449208179420282
7,P-wave,P-wave,304.85014776246874,0.10201190333651311,246.31961259079904,-14.426150121065374,0.0,0.0,0.0
7,GB_PI,Set1,289.2829815946624,0.19138176610218616,233.82593859410403,-73.96503436243067,-15.567166167806363,0.08936986276567305,-12.493673996695009
7,GB_PI,Set2,272.3800996684918,0.28311662474197696,217.9642945846438,-67.5336242364762,-32.470048093976914,0.18110472140546385,-28.355318006155244
7,GB_PI,Set3,282.65509958634266,0.22801046924579504,227.4620317231378,-42.22730806685357,-22.19504817612608,0.12599856590928193,-18.857580867661227
7,GB_PI,Set4,270.50380513923506,0.29295913188219336,215.20191504866827,-53.14291846446874,-34.34634262323368,0.19094722854568025,-31.11769754213077
8,P-wave,P-wave,261.13139769119744,0.3673745664300727,206.1820580474934,-71.3957783641161,0.0,0.0,0.0
8,GB_PI,Set1,291.6860236169212,0.21066801503805843,218.34901225142102,-154.0946476002957,30.55462592572377,-0.15670655139201428,12.166954203927617
8,GB_PI,Set2,266.33989157496416,0.3418863500442414,194.1911504605147,-146.9729015285024,5.208493883766721,-0.02548821638583132,-11.990907586978693
8,GB_PI,Set3,261.6041965554098,0.36508165668991743,200.39561242246972,-127.26399989281423,0.47279886421239326,-0.00229290974015528,-5.786445625023674
8,GB_PI,Set4,258.16177939737133,0.3816813401353698,189.2229172364232,-136.41996849112388,-2.9696182938261018,0.014306773705297093,-16.9591408110702
9,P-wave,P-wave,296.50707317776494,-0.04652833314888993,233.2979797979798,60.43434343434343,0.0,0.0,0.0
9,GB_PI,Set1,279.4469378600512,0.07043538176141817,213.5918477623825,39.66330414896161,-17.06013531771373,0.1169637149103081,-19.706132035597278
9,GB_PI,Set2,242.41154889536995,0.3005003719983871,188.37073209749875,20.489644381663584,-54.09552428239499,0.347028705147277,-44.92724770048105
9,GB_PI,Set3,246.01795401460342,0.27953235911835117,188.13467368184737,15.120461563338745,-50.48911916316152,0.3260606922672411,-45.16330611613242
9,GB_PI,Set4,247.36851182659188,0.2716003850392873,195.97118434143914,37.71627287502491,-49.13856135117305,0.31812871818817723,-37.32679545654065
10,P-wave,P-wave,205.67016617000183,0.2334984642215725,160.08306709265176,48.325878594249204,0.0,0.0,0.0
10,GB_PI,Set1,182.4251809748636,0.3969684938742616,140.26898599415807,-9.154191453183127,-23.24498519513824,0.1634700296526891,-19.814081098493688
10,GB_PI,Set2,175.93345855267498,0.43912341220836393,137.21652722424773,35.405614531062724,-29.736707617326857,0.20562494798679143,-22.866539868404033
10,GB_PI,Set3,162.66668675923816,0.5205231170922122,123.51420176312175,-21.451032557753223,-43.003479410763674,0.2870246528706397,-36.56886532953001
10,GB_PI,Set4,167.48940816774552,0.4916707183507235,128.8767472824833,-8.880177613629366,-38.18075800225631,0.258172254129151,-31.206319810168452
11,P-wave,P-wave,256.4612950004997,-0.05725968133234893,197.08035714285714,114.25892857142857,0.0,0.0,0.0
11,GB_PI,Set1,240.61576366853228,0.069350472140425,185.37091256037925,86.12439985825345,-15.845531331967436,0.12661015347277393,-11.709444582477886
11,GB_PI,Set2,195.53145175890435,0.3854301388035881,151.88902756124176,38.31303399260561,-60.929843241595364,0.44268982013593705,-45.19132958161538
11,GB_PI,Set3,209.62463454295366,0.2936456146301335,159.78096072591018,54.314432766142026,-46.83666045754606,0.35090529596248243,-37.29939641694696
11,GB_PI,Set4,191.87366742272934,0.40820844674201895,144.20623864208778,26.496362738923537,-64.58762757777038,0.4654681280743679,-52.874118500769356
12,P-wave,P-wave,187.48263271316833,0.43094186664993117,151.10773480662982,49.26243093922652,0.0,0.0,0.0
12,GB_PI,Set1,222.56404264669192,0.19805506178118415,173.36913884192043,36.75519555743561,35.08140993352359,-0.23288680486874702,22.26140403529061
12,GB_PI,Set2,183.28351080380938,0.4561472380466276,144.81096220171273,22.173061364832456,-4.199121909358951,0.02520537139669643,-6.296772604917095
12,GB_PI,Set3,199.59439411835092,0.3550423078309132,159.00207065759756,52.55610458656591,12.111761405182591,-0.075899558819018,7.894335850967735
12,GB_PI,Set4,190.18293628744865,0.41443158309003225,154.80157285540025,33.469038380529916,2.7003035742803263,-0.01651028355989892,3.6938380487704308
13,P-wave,P-wave,244.21938920342316,0.42372331027576926,197.29245283018867,-13.116352201257861,0.0,0.0,0.0
13,GB_PI,Set1,271.4745432111275,0.2879196631905878,208.34872883175046,-68.16010714933026,27.255154007704363,-0.13580364708518144,11.056276001561798
13,GB_PI,Set2,232.71017416949982,0.47675930509506925,182.9411863403844,-44.36940085629096,-11.50921503392334,0.05303599481929999,-14.35126648980426
13,GB_PI,Set3,264.94970639849413,0.3217377339161841,198.29724908492054,-95.72414273620419,20.730317195070967,-0.10198557635958516,1.0047962547318718
13,GB_PI,Set4,253.6738695163515,0.3782407735004011,194.77101142421571,-87.46992549815023,9.454480312928325,-0.045482536775368176,-2.5214414059729506
14,P-wave,P-wave,153.39672909542477,0.2932910346287583,116.64124293785311,46.409604519774014,0.0,0.0,0.0
14,GB_PI,Set1,145.54568398065476,0.3637803692840731,111.89731993348111,49.856069956461916,-7.851045114770017,0.07048933465531482,-4.743923004371993
14,GB_PI,Set2,116.66293062921925,0.5912345637057856,92.73250858224435,34.99697711198323,-36.73379846620553,0.29794352907702737,-23.908734355608757
14,GB_PI,Set3,135.0143360537481,0.4525201083338518,97.73150513981022,26.01458957279694,-18.382393041676664,0.15922907370509354,-18.909737798042883
14,GB_PI,Set4,132.18209747782717,0.47524850986244804,104.12598639013322,50.731551804991604,-21.214631617597604,0.18195747523368977,-12.515256547719886
15,P-wave,P-wave,249.24735534636508,0.4037168502569277,184.7859531772575,-45.98327759197324,0.0,0.0,0.0
15,GB_PI,Set1,257.89091315407916,0.36164318537408935,188.24618229983696,-93.88522746548031,8.643557807714075,-0.04207366488283837,3.460229122579449
15,GB_PI,Set2,232.29987753822155,0.4820481593383248,165.35698819497875,-88.89245431152717,-16.94747780814353,0.07833130908139707,-19.428964982278757
15,GB_PI,Set3,249.22032784840277,0.4038461608994346,180.93508652450322,-93.08497998468759,-0.02702749796230819,0.00012931064250687463,-3.8508666527542914
15,GB_PI,Set4,226.59896399104653,0.5071585133476333,160.23421188796758,-89.78090660941602,-22.64839135531855,0.10344166309070557,-24.551741289289936
16,P-wave,P-wave,201.52571661659294,-0.21303968993942402,150.13253012048193,18.150602409638555,0.0,0.0,0.0
16,GB_PI,Set1,174.80260540853666,0.08733821624292692,128.2794635519817,-3.0436700648431203,-26.72311120805628,0.30037790618235094,-21.853066568500225
16,GB_PI,Set2,180.11251910627914,0.031048892365917236,130.70928652716654,-1.5774960413441887,-21.413197510313807,0.24408858230534125,-19.42324359331539
16,GB_PI,Set3,174.4691998986794,0.09081638271445713,126.32253043970307,-22.035101721949832,-27.056516717913553,0.30385607265388115,-23.80999968077886
16,GB_PI,Set4,171.35767133148397,0.12295643587810312,123.50661065496945,-23.309986395789828,-30.168045285108974,0.33599612581752714,-26.62591946551248
17,P-wave,P-wave,273.7210491832103,-0.024112350259587467,209.57683215130024,15.567375886524824,0.0,0.0,0.0
17,GB_PI,Set1,262.32319040629676,0.05940084811703206,201.69795741367835,-10.9018881758571,-11.397858776913552,0.08351319837661952,-7.878874737621885
17,GB_PI,Set2,239.9838532648485,0.21278156461104247,184.7933824579455,-10.928958304310592,-33.737195918361806,0.23689391487062994,-24.783449693354726
17,GB_PI,Set3,234.98403761411745,0.24524163478270034,181.5325900158572,-19.355871863764303,-38.73701156909286,0.2693539850422878,-28.044242135443028
17,GB_PI,Set4,229.28456423660435,0.2814105309311884,178.63581921043436,3.4532813430321694,-44.43648494660596,0.30552288119077586,-30.941012940865875
18,P-wave,P-wave,289.58489532814025,-0.09000270187794213,229.77624309392266,66.89226519337016,0.0,0.0,0.0
18,GB_PI,Set1,259.20295352469094,0.12671569420766082,203.51959110395555,33.735746168884305,-30.38194180344931,0.21671839608560295,-26.25665198996711
18,GB_PI,Set2,224.88201031701473,0.3426673664771994,170.19371321674637,-19.549743324558783,-64.70288501112552,0.43267006835514155,-59.582529877176285
18,GB_PI,Set3,267.63176185494495,0.06899702270138908,204.32692503787635,33.24679441546201,-21.953133473195294,0.1589997245793312,-25.44931805604631
18,GB_PI,Set4,228.25275769511885,0.32281421963225676,178.5519506695197,4.024730766704707,-61.332137633021404,0.4128169215101989,-51.22429242440296
19,P-wave,P-wave,229.7887786490399,0.4224785871582072,169.75561097256858,-27.08229426433915,0.0,0.0,0.0
19,GB_PI,Set1,234.1525586643126,0.40033559141024255,166.63584360587063,-73.43077712338143,4.3637800152727095,-0.022142995747964633,-3.1197673666979426
19,GB_PI,Set2,223.65510916005732,0.4528982488824985,157.9211979717034,-72.8907213468389,-6.1336694889825765,0.030419661724291336,-11.834413000865169
19,GB_PI,Set3,217.77045590367246,0.48130939914581994,148.71706261060996,-72.7371415965616,-12.018322745367442,0.05883081198761275,-21.038548361958618
19,GB_PI,Set4,209.696564666253,0.5190575747372335,146.79075369875017,-69.57601458594006,-20.092213982786888,0.09657898757902628,-22.96485727381841
20,P-wave,P-wave,182.4192328245517,0.2031562557278963,144.2951289398281,11.567335243553009,0.0,0.0,0.0
20,GB_PI,Set1,180.40851192893012,0.2206259054884332,138.45460361669797,-6.702160089881553,-2.0107208956215743,0.017469649760536887,-5.840525323130123
20,GB_PI,Set2,160.64419120519486,0.3820377150713944,128.77836869680806,-14.162208737608266,-21.77504161935684,0.17888145934349808,-15.51676024302003
20,GB_PI,Set3,175.5988928705559,0.2616275832991103,139.91396290655516,-15.764407076140374,-6.820339953995813,0.05847132757121398,-4.381166033272933
20,GB_PI,Set4,157.213170855776,0.4081525621031644,122.49562219207685,-38.154634008043615,-25.206061968775686,0.2049963063752681,-21.799506747751238
21,P-wave,P-wave,279.14164878397656,0.18163758495578997,217.55364806866953,14.356223175965665,0.0,0.0,0.0
21,GB_PI,Set1,264.44963308077394,0.26551600922984087,203.4617694666207,-46.636294378511025,-14.692015703202628,0.0838784242740509,-14.091878602048837
