seed,model,feature_set,RMSE,R2,MAE,Bias,Delta_RMSE,Delta_R2,Delta_MAE
1,P-wave,P-wave,260.3169489757642,-0.8238743494423018,202.6253164556962,109.49113924050633,0.0,0.0,0.0
1,RF_PI,Set1,232.3868197769908,-0.45349321849240876,182.43697908165518,102.42715378984816,-27.930129198773415,0.370381130949893,-20.188337374041026
1,RF_PI,Set2,203.7964227295404,-0.11784898686389966,159.14029416734493,59.19918176256577,-56.520526246223795,0.7060253625784021,-43.485022288351274
1,RF_PI,Set3,208.91634728941295,-0.17472137868331705,166.86567977525633,88.59279601356782,-51.40060168635125,0.6491529707589847,-35.75963668043988
1,RF_PI,Set4,186.494769483405,0.06389764820479793,149.93436970286828,67.88696682452793,-73.8221794923592,0.8877719976470997,-52.69094675282793
2,P-wave,P-wave,197.22472325602243,0.5249748962610956,142.609756097561,-11.609756097560975,0.0,0.0,0.0
2,RF_PI,Set1,199.33415463266203,0.5147592245181456,145.43383966902846,-24.85833261534556,2.1094313766396056,-0.010215671742950017,2.824083571467469
2,RF_PI,Set2,167.44048508174748,0.6576149464169452,125.64538098181397,19.77282614293936,-29.784238174274947,0.13264005015584956,-16.964375115747018
2,RF_PI,Set3,197.74433834418792,0.522468563781148,139.97101511201728,-41.01652069931001,0.5196150881654944,-0.0025063324799475817,-2.6387409855437056
2,RF_PI,Set4,153.130857364381,0.7136354336697208,105.46557722074213,-21.39811329622547,-44.09386589164143,0.1886605374086252,-37.144178876818856
3,P-wave,P-wave,252.8075704083767,0.3089197823602752,192.02967359050444,-89.10385756676558,0.0,0.0,0.0
3,RF_PI,Set1,275.07963944331414,0.1817892061919114,210.82751737081495,-147.61529459085872,22.27206903493743,-0.12713057616836376,18.7978437803105
3,RF_PI,Set2,237.7737017824153,0.3886696603846068,173.59451682071312,-115.86321484611636,-15.033868625961418,0.07974987802433164,-18.43515676979132
3,RF_PI,Set3,268.75512643373804,0.2189805926912184,199.82088951046995,-140.6060220064218,15.947556025361337,-0.08993918966905678,7.791215919965509
3,RF_PI,Set4,237.65890304174798,0.38925982667227577,174.44543312968597,-113.88519885038062,-15.148667366628729,0.08034004431200059,-17.584240460818478
4,P-wave,P-wave,260.7579968462226,0.37715058311648186,199.70807453416148,-57.65217391304348,0.0,0.0,0.0
4,RF_PI,Set1,270.0439060139213,0.33199986186536057,199.914861877175,-112.31659219967183,9.285909167698662,-0.045150721251121295,0.20678734301353074
4,RF_PI,Set2,238.1302189014686,0.48055829861783983,173.46553844770347,-107.20989779458633,-22.62777794475403,0.10340771550135797,-26.242536086458017
4,RF_PI,Set3,244.01738287151153,0.45455706622779635,177.04447366011306,-100.74633180459759,-16.740613974711096,0.07740648311131448,-22.663600874048427
4,RF_PI,Set4,231.27935118912123,0.5100164378863759,166.59388563342455,-104.7705518970002,-29.478645657101396,0.132865854769894,-33.114188900736934
5,P-wave,P-wave,198.5997719429898,0.19907906655343477,157.35395189003435,43.965635738831615,0.0,0.0,0.0
5,RF_PI,Set1,188.3420129520666,0.2796781820006503,146.98970953853853,35.46793566412476,-10.257758990923207,0.08059911544721554,-10.364242351495818
5,RF_PI,Set2,162.7442166130528,0.46217215624926655,124.91819264262914,36.52786248878641,-35.855555329937005,0.2630930896958318,-32.435759247405215
5,RF_PI,Set3,155.1743760551589,0.5110413094131012,117.40255494508712,19.90316808824152,-43.425395887830916,0.31196224285966645,-39.951396944947234
5,RF_PI,Set4,150.65574438097835,0.5391033566899521,114.8822925860191,28.695232045647217,-47.944027562011456,0.34002429013651736,-42.47165930401525
6,P-wave,P-wave,244.44206651989023,-0.8032240234641295,182.3228346456693,123.69291338582677,0.0,0.0,0.0
6,RF_PI,Set1,244.359688017228,-0.8020088327523467,180.00314080396083,129.13329071844657,-0.08237850266223745,0.0012151907117827765,-2.319693841708471
6,RF_PI,Set2,177.71121677530797,0.04692413404600959,131.85086585682032,66.1482105291843,-66.73084974458226,0.8501481575101391,-50.47196878884898
6,RF_PI,Set3,245.2779549018486,-0.8155776349883461,164.5197540830569,121.23548348984265,0.8358883819583696,-0.012353611524216657,-17.803080562612394
6,RF_PI,Set4,211.87967963563983,-0.35480380169785475,151.73759794104225,95.16908662834835,-32.5623868842504,0.4484202217662747,-30.58523670462705
7,P-wave,P-wave,304.85014776246874,0.10201190333651311,246.31961259079904,-14.426150121065374,0.0,0.0,0.0
7,RF_PI,Set1,288.681705403036,0.19473970718708522,233.63454478579936,-74.01455488774401,-16.16844235943273,0.09272780385057211,-12.685067804999676
7,RF_PI,Set2,269.22859441792195,0.2996096917092004,213.1004341447134,-71.48603406871516,-35.62155334454678,0.19759778837268727,-33.219178446085635
7,RF_PI,Set3,277.91087434653633,0.2537079052164185,224.39934622318964,-50.21749367316778,-26.939273415932405,0.1516960018799054,-21.9202663676094
7,RF_PI,Set4,272.66376649565717,0.2816226688762943,217.7209357349594,-58.11185185500767,-32.186381266811566,0.17961076553978117,-28.598676855839642
8,P-wave,P-wave,261.13139769119744,0.3673745664300727,206.1820580474934,-71.3957783641161,0.0,0.0,0.0
8,RF_PI,Set1,291.9620563029255,0.2091733632226369,218.21529878439,-153.4528785710578,30.83065861172804,-0.1582012032074358,12.033240736896602
8,RF_PI,Set2,265.0769308218602,0.3481129879981295,192.46596039863704,-142.78246033447047,3.9455331306627386,-0.019261578431943205,-13.716097648856362
8,RF_PI,Set3,265.29033341149204,0.3470629503828383,201.89315845695,-132.5578532875675,4.158935720294608,-0.020311616047234415,-4.288899590543394
8,RF_PI,Set4,255.3489373492161,0.3950819115798395,186.03841446918506,-134.47365362145902,-5.782460341981334,0.027707345149766804,-20.143643578308343
9,P-wave,P-wave,296.50707317776494,-0.04652833314888993,233.2979797979798,60.43434343434343,0.0,0.0,0.0
9,RF_PI,Set1,281.7256838315831,0.05521332758123332,216.7508855229833,40.87280013637045,-14.781389346181811,0.10174166073012325,-16.547094274996482
9,RF_PI,Set2,248.18599247809206,0.2667781343348631,189.95397522598662,23.847996576923236,-48.321080699672876,0.313306467483753,-43.34400457199317
9,RF_PI,Set3,260.1678991862377,0.19427229884996278,202.51144963764256,24.503598189563235,-36.33917399152722,0.2408006319988527,-30.786530160337236
9,RF_PI,Set4,246.93000125036735,0.2741805665051612,192.04208711867653,36.962285318626265,-49.57707192739758,0.32070889965405114,-41.25589267930326
10,P-wave,P-wave,205.67016617000183,0.2334984642215725,160.08306709265176,48.325878594249204,0.0,0.0,0.0
10,RF_PI,Set1,193.49362371452972,0.3215720252330495,147.18745580459742,-11.659926989117931,-12.176542455472116,0.08807356101147701,-12.89561128805434
10,RF_PI,Set2,188.67531881612558,0.3549392510437245,150.2513894905448,63.990280664664795,-16.994847353876253,0.12144078682215198,-9.831677602106964
10,RF_PI,Set3,169.9534928918721,0.4766037330722336,131.63243463713323,-0.11050492382683427,-35.71667327812975,0.24310526885066108,-28.45063245551853
10,RF_PI,Set4,159.05249298960018,0.5415928396586626,122.6747616058243,32.90401390058572,-46.61767318040165,0.30809437543709006,-37.40830548682746
11,P-wave,P-wave,256.4612950004997,-0.05725968133234893,197.08035714285714,114.25892857142857,0.0,0.0,0.0
11,RF_PI,Set1,235.90698160920795,0.10541915091593157,182.67305199314453,84.43627153721746,-20.55431339129177,0.1626788322482805,-14.407305149712613
11,RF_PI,Set2,194.77217876609123,0.39019377462363714,149.70902143412604,39.3099215198827,-61.68911623440849,0.44745345595598607,-47.371335708731095
11,RF_PI,Set3,216.55553620736254,0.24616449131077456,165.42965412288459,58.28649819489692,-39.90575879313718,0.3034241726431235,-31.650703019972553
11,RF_PI,Set4,203.47126446548106,0.3345059500812251,150.4390460922104,30.85284380241198,-52.99003053501866,0.391765631413574,-46.64131105064675
12,P-wave,P-wave,187.48263271316833,0.43094186664993117,151.10773480662982,49.26243093922652,0.0,0.0,0.0
12,RF_PI,Set1,226.91406285622753,0.16640064149187772,179.07262854432992,41.96558082891774,39.4314301430592,-0.26454122515805345,27.964893737700095
12,RF_PI,Set2,173.88770779063358,0.5104778887642238,132.57271755148466,2.1018396397152794,-13.594924922534744,0.07953602211429267,-18.535017255145164
12,RF_PI,Set3,202.34807646648449,0.3371233690256713,163.07071778309216,55.15273447689088,14.865443753316157,-0.09381849762425987,11.962982976462342
12,RF_PI,Set4,185.27342765288878,0.44427386620312526,147.412781216603,19.032364385901744,-2.209205060279544,0.013331999553194085,-3.694953590026813
13,P-wave,P-wave,244.21938920342316,0.42372331027576926,197.29245283018867,-13.116352201257861,0.0,0.0,0.0
13,RF_PI,Set1,272.6725183832672,0.2816211959171442,211.25963487401054,-68.5927066835176,28.453129179844012,-0.14210211435862508,13.967182043821879
13,RF_PI,Set2,227.19839012527993,0.5012518809394713,184.59892412447192,-26.95084439760709,-17.020999078143234,0.077528570663702,-12.693528705716744
13,RF_PI,Set3,271.8624575218817,0.28588320333128514,206.41547082925564,-101.18356984239576,27.643068318458546,-0.13784010694448412,9.123017999066974
13,RF_PI,Set4,248.2414784420032,0.40458541387069746,186.60758198996982,-74.68876284292038,4.022089238580037,-0.019137896405071797,-10.68487084021885
14,P-wave,P-wave,153.39672909542477,0.2932910346287583,116.64124293785311,46.409604519774014,0.0,0.0,0.0
14,RF_PI,Set1,147.30921530772582,0.348269216515416,113.90124184157224,52.18581740439237,-6.087513787698953,0.05497818188665771,-2.7400010962808636
14,RF_PI,Set2,115.5194322716553,0.5992085075766796,91.20732763015198,35.15266700782894,-37.87729682376947,0.3059174729479214,-25.433915307701128
14,RF_PI,Set3,139.18211342280134,0.41819793806286265,100.90158592327101,22.52611975782755,-14.214615672623438,0.12490690343410438,-15.739657014582093
14,RF_PI,Set4,121.93506788191122,0.5534545677820812,96.48708496550555,40.353017816609025,-31.46166121351355,0.26016353315332297,-20.154157972347562
15,P-wave,P-wave,249.24735534636508,0.4037168502569277,184.7859531772575,-45.98327759197324,0.0,0.0,0.0
15,RF_PI,Set1,260.3657566455214,0.3493324482272795,191.15770015587822,-93.23233773463924,11.118401299156318,-0.05438440202964823,6.371746978620706
15,RF_PI,Set2,229.07852363757652,0.49631366328313775,159.85394224988906,-87.89261723692879,-20.16883170878856,0.09259681302621003,-24.932010927368452
15,RF_PI,Set3,256.9714169385995,0.36618712427378064,187.2596878387975,-92.62887390689222,7.724061592234392,-0.03752972598314708,2.473734661539993
15,RF_PI,Set4,227.41697927398073,0.5035938055136029,159.65404966112962,-82.77122828834716,-21.830376072384354,0.09987695525667517,-25.131903516127892
16,P-wave,P-wave,201.52571661659294,-0.21303968993942402,150.13253012048193,18.150602409638555,0.0,0.0,0.0
16,RF_PI,Set1,178.34454504203597,0.04997786728786635,131.06860335918037,-1.8486437454885738,-23.18117157455697,0.26301755722729037,-19.06392676130156
16,RF_PI,Set2,184.91534265114475,-0.021315577133841135,137.33744110108265,12.934100535728904,-16.61037396544819,0.19172411280558288,-12.795089019399285
16,RF_PI,Set3,179.0833832712115,0.04209013966391717,131.7158671470475,-23.31056020660053,-22.442333345381456,0.2551298296033412,-18.416662973434427
16,RF_PI,Set4,170.49120647813302,0.1318034999439034,122.94698033561403,-7.8843480149476015,-31.034510138459922,0.3448431898833274,-27.185549784867902
17,P-wave,P-wave,273.7210491832103,-0.024112350259587467,209.57683215130024,15.567375886524824,0.0,0.0,0.0
17,RF_PI,Set1,266.2323957447334,0.03115787830410366,204.2715333276863,-7.73288182561039,-7.488653438476888,0.055270228563691126,-5.305298823613924
17,RF_PI,Set2,235.90498849872054,0.23931393431222747,182.8077434297526,-5.80675950837301,-37.81606068448977,0.26342628457181494,-26.769088721547632
17,RF_PI,Set3,251.39768365460537,0.13611933242672258,195.49312591957442,-26.566684885444758,-22.32336552860494,0.16023168268631005,-14.083706231725813
17,RF_PI,Set4,234.98142915810547,0.24525839118103443,182.09249062287122,-4.385125050665144,-38.73962002510484,0.2693707414406219,-27.484341528429013
18,P-wave,P-wave,289.58489532814025,-0.09000270187794213,229.77624309392266,66.89226519337016,0.0,0.0,0.0
18,RF_PI,Set1,255.8513771933899,0.14915337274241902,198.791972322648,29.66236443244072,-33.73351813475034,0.23915607462036115,-30.98427077127465
18,RF_PI,Set2,211.75196779966143,0.41718506354274065,160.1682108693526,-20.742272492863982,-77.83292752847882,0.5071877654206828,-69.60803222457005
18,RF_PI,Set3,268.75711133905406,0.06115111960194397,204.33455342381194,27.621067799987216,-20.827783989086186,0.1511538214798861,-25.44168967011072
18,RF_PI,Set4,223.89761499834404,0.3484095680656215,172.65340437125732,1.876499419704256,-65.68728032979621,0.43841226994356364,-57.122838722665335
19,P-wave,P-wave,229.7887786490399,0.4224785871582072,169.75561097256858,-27.08229426433915,0.0,0.0,0.0
19,RF_PI,Set1,235.44180290938337,0.3937139061711171,169.10138379371392,-74.80799353180923,5.6530242603434715,-0.028764680987090063,-0.6542271788546543
19,RF_PI,Set2,212.63583627824846,0.5054805509418456,149.0279442549839,-62.409100667070454,-17.152942370791436,0.08300196378363844,-20.72766671758467
19,RF_PI,Set3,222.8270184281663,0.45694207488587657,158.35335081450515,-61.96719333215455,-6.9617602208736,0.034463487727669384,-11.402260158063427
19,RF_PI,Set4,206.59660671264322,0.5331720763587765,145.20298940947944,-66.29749852539628,-23.192171936396676,0.11069348920056932,-24.552621563089133
20,P-wave,P-wave,182.4192328245517,0.2031562557278963,144.2951289398281,11.567335243553009,0.0,0.0,0.0
20,RF_PI,Set1,180.7128583008911,0.21799410334536895,140.88406124000088,-4.758158663679413,-1.7063745236605996,0.014837847617472644,-3.411067699827214
20,RF_PI,Set2,166.17769723385072,0.3387321768925994,139.78551899654698,5.122982953277245,-16.241535590700977,0.13557592116470307,-4.509609943281106
20,RF_PI,Set3,181.18945016742788,0.2138639146142245,144.68625934345621,-3.9803168177492148,-1.2297826571238204,0.010707658886328186,0.3911304036281251
20,RF_PI,Set4,154.23078795291627,0.43039463346117046,122.75648474827979,-10.457207808427153,-28.188444871635426,0.22723837773327416,-21.5386441915483
21,P-wave,P-wave,279.14164878397656,0.18163758495578997,217.55364806866953,14.356223175965665,0.0,0.0,0.0
21,RF_PI,Set1,267.30605865022653,0.24956340996435478,205.7610035363525,-48.895400024483,-11.835590133750031,0.06792582500856481,-11.792644532317041
21,RF_PI,Set2,259.2041419367605,0.2943647454946804,193.00522778290295,-79.46151617965127,-19.93750684721607,0.11272716053889043,-24.548420285766582
21,RF_PI,Set3,253.23712851478686,0.3264789752777669,195.14372366174814,-60.55912592523008,-25.904520269189703,0.14484139032197696,-22.40992440692139
21,RF_PI,Set4,245.31624873685274,0.3679535060022544,184.9055538543395,-70.93398857557443,-33.82540004712382,0.18631592104646444,-32.64809421433003
22,P-wave,P-wave,249.9765654041025,-0.6766006781395772,187.2192118226601,49.43103448275862,0.0,0.0,0.0
22,RF_PI,Set1,226.85327216029876,-0.38076935605061935,174.40623203293995,33.328194328347564,-23.123293243803744,0.2958313220889579,-12.812979789720146
22,RF_PI,Set2,194.0955048570566,-0.010792472602205283,157.42033336843932,31.141291389469735,-55.881060547045905,0.665808205537372,-29.798878454220784
