seed,model,feature_set,feature,importance
1,GB_PI,Set1,U.ratio,0.3416667847578837
1,GB_PI,Set1,Mw,0.09057752519937494
1,GB_PI,Set1,EpiD,0.2769971761378148
1,GB_PI,Set1,E.Dep,0.06541523435471903
1,GB_PI,Set1,ray.p,0.10102986609511887
1,GB_PI,Set1,j.angle,0.12431341345508867
1,GB_PI,Set2,U.ratio,0.18397202527464618
1,GB_PI,Set2,Mw,0.010211782691194318
1,GB_PI,Set2,EpiD,0.0636654365338977
1,GB_PI,Set2,E.Dep,0.010278591060090015
1,GB_PI,Set2,ray.p,0.013011036843442323
1,GB_PI,Set2,j.angle,0.10026404944363919
1,GB_PI,Set2,S.Lat,0.2530935547611567
1,GB_PI,Set2,S.Long,0.36550352339193354
1,GB_PI,Set3,U.ratio,0.18059893511030656
1,GB_PI,Set3,Mw,0.02739721209853717
1,GB_PI,Set3,EpiD,0.1011529261043142
1,GB_PI,Set3,E.Dep,0.018930328695713802
1,GB_PI,Set3,ray.p,0.02328421898803587
1,GB_PI,Set3,j.angle,0.10538880017882872
1,GB_PI,Set3,slope_500m,0.5432475788242637
1,GB_PI,Set4,U.ratio,0.15823271807364295
1,GB_PI,Set4,Mw,0.00869527550793836
1,GB_PI,Set4,EpiD,0.04109373936927171
1,GB_PI,Set4,E.Dep,0.005655328327007683
1,GB_PI,Set4,ray.p,0.009154130836516207
1,GB_PI,Set4,j.angle,0.10174513558552226
1,GB_PI,Set4,S.Lat,0.14258979897231974
1,GB_PI,Set4,S.Long,0.2507909233458741
1,GB_PI,Set4,slope_500m,0.28204294998190704
2,GB_PI,Set1,U.ratio,0.42615215952405927
2,GB_PI,Set1,Mw,0.04600373857114013
2,GB_PI,Set1,EpiD,0.21645149532995592
2,GB_PI,Set1,E.Dep,0.07055926566351943
2,GB_PI,Set1,ray.p,0.06903475843118442
2,GB_PI,Set1,j.angle,0.1717985824801408
2,GB_PI,Set2,U.ratio,0.1666306420328764
2,GB_PI,Set2,Mw,0.005976799221281613
2,GB_PI,Set2,EpiD,0.03759687832189469
2,GB_PI,Set2,E.Dep,0.0059276884701328515
2,GB_PI,Set2,ray.p,0.004392605732713141
2,GB_PI,Set2,j.angle,0.08097235199172982
2,GB_PI,Set2,S.Lat,0.2987290379673588
2,GB_PI,Set2,S.Long,0.3997739962620127
2,GB_PI,Set3,U.ratio,0.22699907549779685
2,GB_PI,Set3,Mw,0.006791643516608549
2,GB_PI,Set3,EpiD,0.07004981876140948
2,GB_PI,Set3,E.Dep,0.018095846763802482
2,GB_PI,Set3,ray.p,0.024554108860511993
2,GB_PI,Set3,j.angle,0.11283258907542706
2,GB_PI,Set3,slope_500m,0.5406769175244436
2,GB_PI,Set4,U.ratio,0.1622106889344146
2,GB_PI,Set4,Mw,0.003726905802960523
2,GB_PI,Set4,EpiD,0.0284192899921969
2,GB_PI,Set4,E.Dep,0.005430057424822005
2,GB_PI,Set4,ray.p,0.004674179574287451
2,GB_PI,Set4,j.angle,0.07720343918206364
2,GB_PI,Set4,S.Lat,0.2260518224450047
2,GB_PI,Set4,S.Long,0.2963311710891869
2,GB_PI,Set4,slope_500m,0.1959524455550632
3,GB_PI,Set1,U.ratio,0.41637358017568854
3,GB_PI,Set1,Mw,0.06388856840737325
3,GB_PI,Set1,EpiD,0.19071321053764445
3,GB_PI,Set1,E.Dep,0.04331342844676461
3,GB_PI,Set1,ray.p,0.07510743608710127
3,GB_PI,Set1,j.angle,0.21060377634542782
3,GB_PI,Set2,U.ratio,0.20648756937444782
3,GB_PI,Set2,Mw,0.01122180105190954
3,GB_PI,Set2,EpiD,0.041086238430312026
3,GB_PI,Set2,E.Dep,0.010452834433657274
3,GB_PI,Set2,ray.p,0.007992409175463476
3,GB_PI,Set2,j.angle,0.10888771780945136
3,GB_PI,Set2,S.Lat,0.3207385012638444
3,GB_PI,Set2,S.Long,0.2931329284609142
3,GB_PI,Set3,U.ratio,0.2772806145191425
3,GB_PI,Set3,Mw,0.020301520523808396
3,GB_PI,Set3,EpiD,0.06753820222804376
3,GB_PI,Set3,E.Dep,0.01314183853924387
3,GB_PI,Set3,ray.p,0.025316746287291657
3,GB_PI,Set3,j.angle,0.15782622856415326
3,GB_PI,Set3,slope_500m,0.43859484933831666
3,GB_PI,Set4,U.ratio,0.19841630766665452
3,GB_PI,Set4,Mw,0.008940880180731537
3,GB_PI,Set4,EpiD,0.02819234111094693
3,GB_PI,Set4,E.Dep,0.00661615565550519
3,GB_PI,Set4,ray.p,0.006446859486827606
3,GB_PI,Set4,j.angle,0.10745789185915473
3,GB_PI,Set4,S.Lat,0.23650700414895548
3,GB_PI,Set4,S.Long,0.23359922961560584
3,GB_PI,Set4,slope_500m,0.17382333027561814
4,GB_PI,Set1,U.ratio,0.3725034648707456
4,GB_PI,Set1,Mw,0.07497735734578555
4,GB_PI,Set1,EpiD,0.21622341533493109
4,GB_PI,Set1,E.Dep,0.06800769403249791
4,GB_PI,Set1,ray.p,0.06973943813730137
4,GB_PI,Set1,j.angle,0.19854863027873856
4,GB_PI,Set2,U.ratio,0.16941893566537372
4,GB_PI,Set2,Mw,0.011397259477692837
4,GB_PI,Set2,EpiD,0.04380627782541112
4,GB_PI,Set2,E.Dep,0.008181181207759097
4,GB_PI,Set2,ray.p,0.008438348027234087
4,GB_PI,Set2,j.angle,0.10198319517538927
4,GB_PI,Set2,S.Lat,0.3012717065145326
4,GB_PI,Set2,S.Long,0.35550309610660735
4,GB_PI,Set3,U.ratio,0.22201399397513927
4,GB_PI,Set3,Mw,0.01641920434098694
4,GB_PI,Set3,EpiD,0.07132072618890299
4,GB_PI,Set3,E.Dep,0.02353460355404067
4,GB_PI,Set3,ray.p,0.03301802671626138
4,GB_PI,Set3,j.angle,0.13553080620587765
4,GB_PI,Set3,slope_500m,0.49816263901879104
4,GB_PI,Set4,U.ratio,0.15703235120439865
4,GB_PI,Set4,Mw,0.006143162439824483
4,GB_PI,Set4,EpiD,0.02649340759354819
4,GB_PI,Set4,E.Dep,0.0059619085444069676
4,GB_PI,Set4,ray.p,0.006960087693824063
4,GB_PI,Set4,j.angle,0.11362829565305309
4,GB_PI,Set4,S.Lat,0.24852758726613197
4,GB_PI,Set4,S.Long,0.2806118403932183
4,GB_PI,Set4,slope_500m,0.15464135921159436
5,GB_PI,Set1,U.ratio,0.38129721248507265
5,GB_PI,Set1,Mw,0.06310316733985537
5,GB_PI,Set1,EpiD,0.20903570839838004
5,GB_PI,Set1,E.Dep,0.08033232556742927
5,GB_PI,Set1,ray.p,0.09167055996584757
5,GB_PI,Set1,j.angle,0.17456102624341516
5,GB_PI,Set2,U.ratio,0.13402986287055008
5,GB_PI,Set2,Mw,0.008495439573355362
5,GB_PI,Set2,EpiD,0.033730110667368245
5,GB_PI,Set2,E.Dep,0.012713426482061174
5,GB_PI,Set2,ray.p,0.010148000802772662
5,GB_PI,Set2,j.angle,0.09306232596896372
5,GB_PI,Set2,S.Lat,0.2965287590475432
5,GB_PI,Set2,S.Long,0.4112920745873854
5,GB_PI,Set3,U.ratio,0.19467375081078345
5,GB_PI,Set3,Mw,0.01879860024710163
5,GB_PI,Set3,EpiD,0.07507365164798566
5,GB_PI,Set3,E.Dep,0.02182682964598349
5,GB_PI,Set3,ray.p,0.032540236532551704
5,GB_PI,Set3,j.angle,0.11864350228552997
5,GB_PI,Set3,slope_500m,0.538443428830064
5,GB_PI,Set4,U.ratio,0.1360652957545822
5,GB_PI,Set4,Mw,0.00747468507935969
5,GB_PI,Set4,EpiD,0.027018126813187025
5,GB_PI,Set4,E.Dep,0.007432923470086426
5,GB_PI,Set4,ray.p,0.006775267338942798
5,GB_PI,Set4,j.angle,0.07925020269892867
5,GB_PI,Set4,S.Lat,0.2599489824484681
5,GB_PI,Set4,S.Long,0.3416852096152398
5,GB_PI,Set4,slope_500m,0.1343493067812052
6,GB_PI,Set1,U.ratio,0.23771494456772932
6,GB_PI,Set1,Mw,0.10282907925924503
6,GB_PI,Set1,EpiD,0.3177583438811094
6,GB_PI,Set1,E.Dep,0.1446413803169411
6,GB_PI,Set1,ray.p,0.11361384622157053
6,GB_PI,Set1,j.angle,0.08344240575340461
6,GB_PI,Set2,U.ratio,0.11723682485874015
6,GB_PI,Set2,Mw,0.02101631567617876
6,GB_PI,Set2,EpiD,0.0760190277574599
6,GB_PI,Set2,E.Dep,0.022466646092805926
6,GB_PI,Set2,ray.p,0.01079808903916562
6,GB_PI,Set2,j.angle,0.06607803820759713
6,GB_PI,Set2,S.Lat,0.16653491132560963
6,GB_PI,Set2,S.Long,0.5198501470424428
6,GB_PI,Set3,U.ratio,0.1430153414440466
6,GB_PI,Set3,Mw,0.0354563821674648
6,GB_PI,Set3,EpiD,0.13536709441057368
6,GB_PI,Set3,E.Dep,0.03510105642432052
6,GB_PI,Set3,ray.p,0.0293165018983361
6,GB_PI,Set3,j.angle,0.06112925855993711
6,GB_PI,Set3,slope_500m,0.5606143650953211
6,GB_PI,Set4,U.ratio,0.11194066849259306
6,GB_PI,Set4,Mw,0.015003149324227938
6,GB_PI,Set4,EpiD,0.048499922935661056
6,GB_PI,Set4,E.Dep,0.012714553257267263
6,GB_PI,Set4,ray.p,0.007827534363861783
6,GB_PI,Set4,j.angle,0.06606518031013409
6,GB_PI,Set4,S.Lat,0.11330774462407439
6,GB_PI,Set4,S.Long,0.3786840448809972
6,GB_PI,Set4,slope_500m,0.24595720181118327
7,GB_PI,Set1,U.ratio,0.39936978463704875
7,GB_PI,Set1,Mw,0.04798064975761047
7,GB_PI,Set1,EpiD,0.22775211463883718
7,GB_PI,Set1,E.Dep,0.0508182108204216
7,GB_PI,Set1,ray.p,0.07163295806822585
7,GB_PI,Set1,j.angle,0.2024462820778561
7,GB_PI,Set2,U.ratio,0.23820024572995435
7,GB_PI,Set2,Mw,0.00930099211481786
7,GB_PI,Set2,EpiD,0.06968284299802155
7,GB_PI,Set2,E.Dep,0.01203551693935393
7,GB_PI,Set2,ray.p,0.009734864158438888
7,GB_PI,Set2,j.angle,0.13758845197041855
7,GB_PI,Set2,S.Lat,0.23219577489615023
7,GB_PI,Set2,S.Long,0.2912613111928447
7,GB_PI,Set3,U.ratio,0.2790299532930087
7,GB_PI,Set3,Mw,0.022878719324290364
7,GB_PI,Set3,EpiD,0.10045126627919287
7,GB_PI,Set3,E.Dep,0.014163386893367892
7,GB_PI,Set3,ray.p,0.023321615786707346
7,GB_PI,Set3,j.angle,0.1392415794178652
7,GB_PI,Set3,slope_500m,0.4209134790055676
7,GB_PI,Set4,U.ratio,0.20642774427565153
7,GB_PI,Set4,Mw,0.008151577943714555
7,GB_PI,Set4,EpiD,0.05581182095872567
7,GB_PI,Set4,E.Dep,0.009205819120665659
7,GB_PI,Set4,ray.p,0.00853909761377503
7,GB_PI,Set4,j.angle,0.13520613511628737
7,GB_PI,Set4,S.Lat,0.17165943986913249
7,GB_PI,Set4,S.Long,0.23410645322351686
7,GB_PI,Set4,slope_500m,0.17089191187853076
8,GB_PI,Set1,U.ratio,0.36442624784512556
8,GB_PI,Set1,Mw,0.055652556677611285
8,GB_PI,Set1,EpiD,0.2600116784784846
8,GB_PI,Set1,E.Dep,0.045727927384224536
8,GB_PI,Set1,ray.p,0.07022932663288332
8,GB_PI,Set1,j.angle,0.2039522629816706
8,GB_PI,Set2,U.ratio,0.18806901516011407
8,GB_PI,Set2,Mw,0.0068152637679680175
8,GB_PI,Set2,EpiD,0.045200626794954506
8,GB_PI,Set2,E.Dep,0.0054408024695521565
8,GB_PI,Set2,ray.p,0.013388903224836638
8,GB_PI,Set2,j.angle,0.11567741387026811
