model,feature_set,feature,importance_mean,importance_sd,importance_median,importance_min,importance_max,n_seed
GB_PI,Set1,E.Dep,0.07298800968408482,0.02043898216969661,0.0686734876670129,0.041106192452232744,0.1446413803169411,50
GB_PI,Set1,EpiD,0.23112899652336225,0.03368643765923003,0.22625529672928332,0.17480777193052857,0.333144004458221,50
GB_PI,Set1,Mw,0.06278341252292774,0.020581897269468692,0.05957165303727918,0.022474408227348332,0.1224335663214717,50
GB_PI,Set1,U.ratio,0.37706290281691496,0.04223511971963337,0.3770094053084355,0.23771494456772932,0.4540174475382723,50
GB_PI,Set1,j.angle,0.1681475434800085,0.03679428918916248,0.17175099436893226,0.08344240575340461,0.24061709406939114,50
GB_PI,Set1,ray.p,0.08788913497270173,0.018442970614736362,0.08498752111214927,0.05337452877117258,0.14730721924733853,50
GB_PI,Set2,E.Dep,0.00990968375179764,0.00398135414085234,0.009938970323320884,0.0034127601683330744,0.022466646092805926,50
GB_PI,Set2,EpiD,0.04518446138813743,0.015321802912862328,0.04180033966727405,0.02238995524592898,0.0878327556441144,50
GB_PI,Set2,Mw,0.01051022279364794,0.00478865129752769,0.009395713847920692,0.0037357650716174223,0.022701098657664686,50
GB_PI,Set2,S.Lat,0.26673906155630145,0.05443949315919858,0.27869064216984674,0.15763146913899,0.36572797920381467,50
GB_PI,Set2,S.Long,0.4002286726879232,0.05073205141504093,0.40782282824117183,0.2761005990008567,0.5198501470424428,50
GB_PI,Set2,U.ratio,0.16493740525725772,0.025955820211771986,0.16602245542852243,0.11723682485874015,0.23820024572995435,50
GB_PI,Set2,j.angle,0.09333051693677738,0.017259068525786528,0.08978339301584379,0.061303899251089054,0.13758845197041855,50
GB_PI,Set2,ray.p,0.009159975628157237,0.003057402476434125,0.008543945263838209,0.0036426233668786605,0.01649112078443602,50
GB_PI,Set3,E.Dep,0.02025836137949496,0.007069257769915283,0.01886970919135969,0.009937325137734114,0.035837290026867905,50
GB_PI,Set3,EpiD,0.08314832658549218,0.020763810760734552,0.07907493081318762,0.04989573998822373,0.1508011573419631,50
GB_PI,Set3,Mw,0.01602061551421398,0.007233602380791187,0.014968762522219282,0.005019693911566604,0.03582028251220582,50
GB_PI,Set3,U.ratio,0.21576151737403382,0.028563139981942817,0.2144285171333419,0.1430153414440466,0.2790299532930087,50
GB_PI,Set3,j.angle,0.11235113874460813,0.02135928248456509,0.11130957544915679,0.06112925855993711,0.15782622856415326,50
GB_PI,Set3,ray.p,0.02855374765515322,0.007844885950622492,0.027150915868425263,0.014017976552441773,0.048057890385651024,50
GB_PI,Set3,slope_500m,0.5239062927470036,0.04133569025801066,0.5327912658167755,0.4209134790055676,0.6012359013753434,50
GB_PI,Set4,E.Dep,0.006320958267351118,0.002671286969869567,0.005627424337805926,0.002295444745059265,0.014165242719570028,50
GB_PI,Set4,EpiD,0.031134258183466317,0.01215659193188876,0.027522761251450367,0.015330022154000426,0.07000281815289104,50
GB_PI,Set4,Mw,0.006653065616793196,0.0030586998039436545,0.006121243989961292,0.002220169703275167,0.016141386414889734,50
GB_PI,Set4,S.Lat,0.19483058554821825,0.053617747905515434,0.20921670019997504,0.08969326726992954,0.2775402903702275,50
GB_PI,Set4,S.Long,0.3093897541561795,0.04250919340831163,0.3139997185554674,0.17975853319118132,0.4113542609284542,50
GB_PI,Set4,U.ratio,0.15833044603886887,0.02275312096521825,0.1576325346390208,0.11194066849259306,0.20778158564162882,50
GB_PI,Set4,j.angle,0.09220719024505343,0.017512569268261485,0.08946410889678597,0.06502630237962755,0.13520613511628737,50
GB_PI,Set4,ray.p,0.0071815323407504895,0.0027753468269190885,0.006458677085353637,0.003561801297609691,0.018002237238099336,50
GB_PI,Set4,slope_500m,0.19395220960331888,0.04021522573783101,0.19004328427934084,0.1343493067812052,0.28204294998190704,50
