seed,model,feature_set,feature,importance
1,RF_PI,Set1,U.ratio,0.3141629902075796
1,RF_PI,Set1,Mw,0.10267519634122535
1,RF_PI,Set1,EpiD,0.2263282144688951
1,RF_PI,Set1,E.Dep,0.09331861208740848
1,RF_PI,Set1,ray.p,0.12149985292225797
1,RF_PI,Set1,j.angle,0.1420151339726335
1,RF_PI,Set2,U.ratio,0.2049211586236559
1,RF_PI,Set2,Mw,0.030558407559753257
1,RF_PI,Set2,EpiD,0.08255557901591193
1,RF_PI,Set2,E.Dep,0.03143511854097571
1,RF_PI,Set2,ray.p,0.03352528128482911
1,RF_PI,Set2,j.angle,0.11482197327279763
1,RF_PI,Set2,S.Lat,0.189417393310576
1,RF_PI,Set2,S.Long,0.3127650883915006
1,RF_PI,Set3,U.ratio,0.20068296200622182
1,RF_PI,Set3,Mw,0.050300316403155035
1,RF_PI,Set3,EpiD,0.12207959402296903
1,RF_PI,Set3,E.Dep,0.040322290926475754
1,RF_PI,Set3,ray.p,0.05202790506414956
1,RF_PI,Set3,j.angle,0.12227265738946289
1,RF_PI,Set3,slope_500m,0.4123142741875658
1,RF_PI,Set4,U.ratio,0.17238707175663165
1,RF_PI,Set4,Mw,0.024254659976071038
1,RF_PI,Set4,EpiD,0.05513850325245581
1,RF_PI,Set4,E.Dep,0.02366901121610295
1,RF_PI,Set4,ray.p,0.024163347472171567
1,RF_PI,Set4,j.angle,0.11249522485392201
1,RF_PI,Set4,S.Lat,0.1315079428140941
1,RF_PI,Set4,S.Long,0.23445420624424315
1,RF_PI,Set4,slope_500m,0.22193003241430775
2,RF_PI,Set1,U.ratio,0.3522309831159215
2,RF_PI,Set1,Mw,0.07841959330440998
2,RF_PI,Set1,EpiD,0.18525903128462434
2,RF_PI,Set1,E.Dep,0.09555480641509802
2,RF_PI,Set1,ray.p,0.10889200742464222
2,RF_PI,Set1,j.angle,0.17964357845530385
2,RF_PI,Set2,U.ratio,0.15811550046319767
2,RF_PI,Set2,Mw,0.0152399872758537
2,RF_PI,Set2,EpiD,0.05199174533687123
2,RF_PI,Set2,E.Dep,0.01962321144403714
2,RF_PI,Set2,ray.p,0.017884146580451395
2,RF_PI,Set2,j.angle,0.09571426894249092
2,RF_PI,Set2,S.Lat,0.2908373324667086
2,RF_PI,Set2,S.Long,0.3505938074903894
2,RF_PI,Set3,U.ratio,0.2348476098773816
2,RF_PI,Set3,Mw,0.02951169680206456
2,RF_PI,Set3,EpiD,0.09887826031353839
2,RF_PI,Set3,E.Dep,0.03465495258356605
2,RF_PI,Set3,ray.p,0.04346026775836979
2,RF_PI,Set3,j.angle,0.13353792120258862
2,RF_PI,Set3,slope_500m,0.42510929146249105
2,RF_PI,Set4,U.ratio,0.14375459141249172
2,RF_PI,Set4,Mw,0.012235089521017819
2,RF_PI,Set4,EpiD,0.03954779653861353
2,RF_PI,Set4,E.Dep,0.01282338560920337
2,RF_PI,Set4,ray.p,0.013797979340945142
2,RF_PI,Set4,j.angle,0.09753587845850988
2,RF_PI,Set4,S.Lat,0.24624085814966334
2,RF_PI,Set4,S.Long,0.2731237431341544
2,RF_PI,Set4,slope_500m,0.16094067783540075
3,RF_PI,Set1,U.ratio,0.3914907096084845
3,RF_PI,Set1,Mw,0.08324358066668687
3,RF_PI,Set1,EpiD,0.16049853317276871
3,RF_PI,Set1,E.Dep,0.07520358268070097
3,RF_PI,Set1,ray.p,0.10323613222506668
3,RF_PI,Set1,j.angle,0.18632746164629224
3,RF_PI,Set2,U.ratio,0.21918958370910324
3,RF_PI,Set2,Mw,0.021463930587766963
3,RF_PI,Set2,EpiD,0.05101705729978718
3,RF_PI,Set2,E.Dep,0.01865798973196441
3,RF_PI,Set2,ray.p,0.02293449445824131
3,RF_PI,Set2,j.angle,0.11845272873195935
3,RF_PI,Set2,S.Lat,0.2963299808634125
3,RF_PI,Set2,S.Long,0.2519542346177651
3,RF_PI,Set3,U.ratio,0.2850895289266428
3,RF_PI,Set3,Mw,0.04153551580626838
3,RF_PI,Set3,EpiD,0.08670274212934051
3,RF_PI,Set3,E.Dep,0.03508217570454822
3,RF_PI,Set3,ray.p,0.04322460154546747
3,RF_PI,Set3,j.angle,0.16288322045121464
3,RF_PI,Set3,slope_500m,0.345482215436518
3,RF_PI,Set4,U.ratio,0.1917599583843501
3,RF_PI,Set4,Mw,0.018208687675548105
3,RF_PI,Set4,EpiD,0.0388651793619376
3,RF_PI,Set4,E.Dep,0.015103550710119065
3,RF_PI,Set4,ray.p,0.018103505929167204
3,RF_PI,Set4,j.angle,0.12980943464867045
3,RF_PI,Set4,S.Lat,0.23600652333694697
3,RF_PI,Set4,S.Long,0.2089197833077867
3,RF_PI,Set4,slope_500m,0.14322337664547377
4,RF_PI,Set1,U.ratio,0.348965179408267
4,RF_PI,Set1,Mw,0.09011256294823208
4,RF_PI,Set1,EpiD,0.18864206062109068
4,RF_PI,Set1,E.Dep,0.09168747073312623
4,RF_PI,Set1,ray.p,0.10117321965922861
4,RF_PI,Set1,j.angle,0.17941950663005535
4,RF_PI,Set2,U.ratio,0.18670642627871917
4,RF_PI,Set2,Mw,0.020804561853545164
4,RF_PI,Set2,EpiD,0.057727325006205345
4,RF_PI,Set2,E.Dep,0.021315281059619134
4,RF_PI,Set2,ray.p,0.02226556389055105
4,RF_PI,Set2,j.angle,0.10984173394761815
4,RF_PI,Set2,S.Lat,0.2991949712335461
4,RF_PI,Set2,S.Long,0.282144136730196
4,RF_PI,Set3,U.ratio,0.24351543370690582
4,RF_PI,Set3,Mw,0.03968953827320573
4,RF_PI,Set3,EpiD,0.10191677911438454
4,RF_PI,Set3,E.Dep,0.041974696064414965
4,RF_PI,Set3,ray.p,0.04724950459116719
4,RF_PI,Set3,j.angle,0.13771085328474839
4,RF_PI,Set3,slope_500m,0.3879431949651732
4,RF_PI,Set4,U.ratio,0.1609082522475171
4,RF_PI,Set4,Mw,0.015292253741190837
4,RF_PI,Set4,EpiD,0.0449991092576271
4,RF_PI,Set4,E.Dep,0.018503580667032928
4,RF_PI,Set4,ray.p,0.016664516170952097
4,RF_PI,Set4,j.angle,0.11628273550529783
4,RF_PI,Set4,S.Lat,0.24854373477652347
4,RF_PI,Set4,S.Long,0.23090807934541577
4,RF_PI,Set4,slope_500m,0.14789773828844285
5,RF_PI,Set1,U.ratio,0.3493639392237025
5,RF_PI,Set1,Mw,0.08991227416839268
5,RF_PI,Set1,EpiD,0.17978966801106128
5,RF_PI,Set1,E.Dep,0.09354846447479004
5,RF_PI,Set1,ray.p,0.11296172033258517
5,RF_PI,Set1,j.angle,0.17442393378946847
5,RF_PI,Set2,U.ratio,0.14877524011665638
5,RF_PI,Set2,Mw,0.018031156434753927
5,RF_PI,Set2,EpiD,0.04919720013618067
5,RF_PI,Set2,E.Dep,0.019171276313415846
5,RF_PI,Set2,ray.p,0.019605792020045233
5,RF_PI,Set2,j.angle,0.08633010911078856
5,RF_PI,Set2,S.Lat,0.29303398881483367
5,RF_PI,Set2,S.Long,0.3658552370533258
5,RF_PI,Set3,U.ratio,0.23789260094012005
5,RF_PI,Set3,Mw,0.03731107950524432
5,RF_PI,Set3,EpiD,0.10321971288228421
5,RF_PI,Set3,E.Dep,0.04296635465435069
5,RF_PI,Set3,ray.p,0.052911292821200745
5,RF_PI,Set3,j.angle,0.13004062458739019
5,RF_PI,Set3,slope_500m,0.39565833460940975
5,RF_PI,Set4,U.ratio,0.13514346576381484
5,RF_PI,Set4,Mw,0.015677716680855523
5,RF_PI,Set4,EpiD,0.040189313486175625
5,RF_PI,Set4,E.Dep,0.014634593621736703
5,RF_PI,Set4,ray.p,0.015819936367079516
5,RF_PI,Set4,j.angle,0.08526099485481153
5,RF_PI,Set4,S.Lat,0.2429324105422287
5,RF_PI,Set4,S.Long,0.31159637804615925
5,RF_PI,Set4,slope_500m,0.13874519063713836
6,RF_PI,Set1,U.ratio,0.21208313609355123
6,RF_PI,Set1,Mw,0.12372816037737905
6,RF_PI,Set1,EpiD,0.2970563862685153
6,RF_PI,Set1,E.Dep,0.13425804709175504
6,RF_PI,Set1,ray.p,0.13899085532839311
6,RF_PI,Set1,j.angle,0.09388341484040634
6,RF_PI,Set2,U.ratio,0.12949843873526795
6,RF_PI,Set2,Mw,0.03607984111852835
6,RF_PI,Set2,EpiD,0.10196317997085759
6,RF_PI,Set2,E.Dep,0.03907790866225437
6,RF_PI,Set2,ray.p,0.033965266391351785
6,RF_PI,Set2,j.angle,0.07376915310088823
6,RF_PI,Set2,S.Lat,0.16365957940204667
6,RF_PI,Set2,S.Long,0.421986632618805
6,RF_PI,Set3,U.ratio,0.15159636342039534
6,RF_PI,Set3,Mw,0.054739182512784666
6,RF_PI,Set3,EpiD,0.15792688696252422
6,RF_PI,Set3,E.Dep,0.057285426329457094
6,RF_PI,Set3,ray.p,0.06138292061842147
6,RF_PI,Set3,j.angle,0.0822358957228117
6,RF_PI,Set3,slope_500m,0.4348333244336055
6,RF_PI,Set4,U.ratio,0.11758463858312841
6,RF_PI,Set4,Mw,0.02664171392210346
6,RF_PI,Set4,EpiD,0.07489545443428407
6,RF_PI,Set4,E.Dep,0.027994475871137244
6,RF_PI,Set4,ray.p,0.025284954961380782
6,RF_PI,Set4,j.angle,0.07958941351632581
6,RF_PI,Set4,S.Lat,0.12774205352780704
6,RF_PI,Set4,S.Long,0.3278884488895407
6,RF_PI,Set4,slope_500m,0.19237884629429236
7,RF_PI,Set1,U.ratio,0.3632408854292918
7,RF_PI,Set1,Mw,0.07603307838425644
