seed,model,feature_set,feature,importance
33,GB_PI,Set1,U.ratio,0.43228680027807304
33,GB_PI,Set1,Mw,0.05304950826196731
33,GB_PI,Set1,EpiD,0.19115114191955165
33,GB_PI,Set1,E.Dep,0.0548216695952142
33,GB_PI,Set1,ray.p,0.0753569957588789
33,GB_PI,Set1,j.angle,0.1933338841863149
33,GB_PI,Set2,U.ratio,0.16569037122318375
33,GB_PI,Set2,Mw,0.008385200376098877
33,GB_PI,Set2,EpiD,0.036563646474244024
33,GB_PI,Set2,E.Dep,0.006761355565393264
33,GB_PI,Set2,ray.p,0.005669258171311464
33,GB_PI,Set2,j.angle,0.10056734320779648
33,GB_PI,Set2,S.Lat,0.329553922090866
33,GB_PI,Set2,S.Long,0.3468089028911063
33,GB_PI,Set3,U.ratio,0.19786874151176448
33,GB_PI,Set3,Mw,0.016996567184852835
33,GB_PI,Set3,EpiD,0.06111274852527144
33,GB_PI,Set3,E.Dep,0.012092545436202692
33,GB_PI,Set3,ray.p,0.018546072581863235
33,GB_PI,Set3,j.angle,0.10464907569382997
33,GB_PI,Set3,slope_500m,0.5887342490662154
33,GB_PI,Set4,U.ratio,0.1522305167123208
33,GB_PI,Set4,Mw,0.007144023888581556
33,GB_PI,Set4,EpiD,0.025565364668180376
33,GB_PI,Set4,E.Dep,0.0052478919549853445
33,GB_PI,Set4,ray.p,0.0036218909816171955
33,GB_PI,Set4,j.angle,0.08964057137335159
33,GB_PI,Set4,S.Lat,0.23052245560385864
33,GB_PI,Set4,S.Long,0.28346757234983744
33,GB_PI,Set4,slope_500m,0.202559712467267
