seed,model,feature_set,feature,importance
50,RF_PI,Set1,U.ratio,0.3347324946707035
50,RF_PI,Set1,Mw,0.08130701424018878
50,RF_PI,Set1,EpiD,0.1914524808700341
50,RF_PI,Set1,E.Dep,0.09451626407716612
50,RF_PI,Set1,ray.p,0.10981342110741778
50,RF_PI,Set1,j.angle,0.18817832503448953
50,RF_PI,Set2,U.ratio,0.1444711881261008
50,RF_PI,Set2,Mw,0.01989279703784199
50,RF_PI,Set2,EpiD,0.050136995694280546
50,RF_PI,Set2,E.Dep,0.021044350729375765
50,RF_PI,Set2,ray.p,0.020951125078271064
50,RF_PI,Set2,j.angle,0.10015137791374396
50,RF_PI,Set2,S.Lat,0.24638729319756625
50,RF_PI,Set2,S.Long,0.3969648722228197
50,RF_PI,Set3,U.ratio,0.23360590029279932
50,RF_PI,Set3,Mw,0.03639897497432115
50,RF_PI,Set3,EpiD,0.10067813546771284
50,RF_PI,Set3,E.Dep,0.03642926240639312
50,RF_PI,Set3,ray.p,0.04406958786401587
50,RF_PI,Set3,j.angle,0.13919149000604156
50,RF_PI,Set3,slope_500m,0.4096266489887161
50,RF_PI,Set4,U.ratio,0.1324622011787241
50,RF_PI,Set4,Mw,0.0162305338122195
50,RF_PI,Set4,EpiD,0.03713055065602682
50,RF_PI,Set4,E.Dep,0.016455935386070132
50,RF_PI,Set4,ray.p,0.016792698160132718
50,RF_PI,Set4,j.angle,0.08869830636974237
50,RF_PI,Set4,S.Lat,0.19158558345255622
50,RF_PI,Set4,S.Long,0.32849333936218683
50,RF_PI,Set4,slope_500m,0.17215085162234123
